1	3		1	7		1			1			1	7				5		
		1		1				4				9				1			2
	4		2				1				1	5	1	5			1		1
	4		5	5	5			6	1	5				1	5				
6		1		5	5		1		9			6	6	6		1		1	
	1							1				6		1				6	
		4		7	1		1			1		1				1			3
4				1	7			3	3	7				6	7		1		
1	6	6	6					3	1					1	8				1
			1	9		6	6	1			1	6	6	6				1	
		7				1						1	9				1		3
7	1		1				6		5	1			4			1	7		
					6	1	2	1				8	1	3	1			2	
	8	3	1					5	1									2	
	5		3	6	1		1				5	6	1	8				7	
			1			3	3		1		1					1			
	4	1	7							2	5				1			6	1
			1	8			1	6				5	1			1	4		
	3			1				3	1	4		1							4
	1			5	1					1			1	7	1		5		1
